soil_moisture,temperature,humidity,label
85.38,36.77,84.54,NO_WATER
62.53,23.2,74.35,NO_WATER
32.29,24.24,26.29,WATER_SOON
20.46,34.15,98.0,WATER_SOON
23.78,36.95,74.07,WATER_NOW
40.5,29.39,76.76,WATER_SOON
8.28,35.99,84.9,WATER_NOW
14.74,23.66,57.55,WATER_NOW
34.35,26.5,64.03,WATER_SOON
83.56,42.0,69.06,NO_WATER
22.73,34.13,72.17,WATER_NOW
27.46,24.66,50.64,WATER_SOON
55.64,31.42,94.52,NO_WATER
31.46,32.45,86.61,WATER_SOON
21.75,26.98,83.23,WATER_SOON
39.29,29.65,38.22,WATER_SOON
21.78,32.84,62.74,WATER_NOW
50.75,29.82,70.53,NO_WATER
33.66,20.7,67.26,WATER_SOON
69.97,25.95,68.69,NO_WATER
43.88,32.27,47.67,WATER_SOON
84.45,32.45,93.03,NO_WATER
13.44,35.33,67.66,WATER_NOW
19.24,27.06,73.35,WATER_SOON
65.83,26.31,55.59,NO_WATER
26.64,28.61,91.47,WATER_SOON
57.97,24.48,82.7,NO_WATER
88.54,33.52,83.93,NO_WATER
91.69,32.36,53.03,NO_WATER
58.57,26.63,42.05,NO_WATER
16.78,26.65,31.66,WATER_NOW
20.06,34.28,98.0,WATER_SOON
34.9,31.66,39.04,WATER_SOON
12.25,42.0,68.48,WATER_NOW
32.29,22.14,43.72,WATER_SOON
36.02,34.67,69.61,WATER_SOON
29.56,29.97,71.58,WATER_SOON
63.32,29.21,54.82,NO_WATER
87.66,25.76,62.03,NO_WATER
92.08,34.93,86.13,NO_WATER
25.52,19.71,65.02,NO_WATER
77.05,27.7,74.23,NO_WATER
60.83,33.85,50.75,WATER_SOON
21.54,23.85,84.93,WATER_SOON
54.56,20.71,84.7,NO_WATER
57.42,31.75,87.72,NO_WATER
65.32,23.33,70.97,NO_WATER
48.41,24.66,59.04,NO_WATER
70.68,34.76,47.7,NO_WATER
86.36,27.93,64.35,NO_WATER
24.6,27.71,80.15,WATER_SOON
64.16,33.63,71.29,NO_WATER
53.1,25.75,82.09,NO_WATER
94.38,38.96,56.69,NO_WATER
94.53,23.84,52.52,NO_WATER
86.84,30.5,69.89,NO_WATER
60.12,24.19,92.45,NO_WATER
44.6,23.67,59.28,WATER_SOON
70.18,29.81,22.66,NO_WATER
64.79,32.32,98.0,NO_WATER
7.39,33.68,98.0,WATER_NOW
62.49,24.28,53.56,NO_WATER
40.29,26.09,71.78,WATER_SOON
94.31,32.79,69.62,NO_WATER
45.07,32.64,98.0,NO_WATER
91.7,25.57,65.15,NO_WATER
74.77,26.82,91.77,NO_WATER
89.26,29.82,98.0,NO_WATER
93.16,23.83,44.69,NO_WATER
67.51,27.06,66.35,NO_WATER
40.04,34.53,60.3,WATER_SOON
64.35,28.17,44.8,NO_WATER
37.97,33.97,98.0,WATER_SOON
64.91,31.68,31.95,NO_WATER
14.54,26.8,65.33,WATER_NOW
40.44,31.17,75.22,WATER_SOON
82.28,34.29,63.92,NO_WATER
42.36,36.74,92.64,WATER_SOON
36.68,33.74,72.23,WATER_SOON
92.08,18.66,50.48,NO_WATER
10.63,27.83,66.35,WATER_NOW
5.36,23.08,70.74,WATER_NOW
78.34,22.32,88.85,NO_WATER
93.26,23.73,49.15,NO_WATER
57.12,28.59,84.03,NO_WATER
42.36,26.72,51.38,NO_WATER
68.9,31.63,48.62,NO_WATER
63.78,33.24,43.95,NO_WATER
34.5,31.63,78.91,WATER_SOON
59.99,23.13,20.0,NO_WATER
66.02,27.9,65.53,NO_WATER
64.4,28.37,53.55,NO_WATER
23.88,30.14,48.89,WATER_SOON
39.08,28.64,60.63,WATER_SOON
73.62,22.98,20.0,NO_WATER
68.86,29.62,76.33,NO_WATER
86.64,24.75,63.25,NO_WATER
31.05,28.59,57.02,WATER_SOON
84.6,31.27,68.42,NO_WATER
23.66,31.09,54.97,WATER_NOW
87.61,24.96,71.66,NO_WATER
65.62,20.37,84.8,NO_WATER
39.88,27.87,96.49,NO_WATER
6.12,34.25,90.31,WATER_NOW
44.14,25.61,71.77,NO_WATER
11.91,32.54,73.99,WATER_NOW
39.05,25.21,98.0,NO_WATER
35.62,28.25,78.14,WATER_SOON
40.87,30.37,62.99,WATER_SOON
70.23,20.46,58.96,NO_WATER
59.31,29.1,59.14,NO_WATER
6.75,31.14,87.52,WATER_NOW
22.99,31.87,27.79,WATER_NOW
78.32,26.71,60.44,NO_WATER
51.95,22.19,87.16,NO_WATER
28.16,40.68,66.89,WATER_NOW
9.42,26.46,94.23,WATER_NOW
31.72,22.96,50.19,WATER_SOON
63.65,30.55,61.44,NO_WATER
49.2,27.13,96.13,NO_WATER
73.48,34.02,41.38,NO_WATER
64.6,26.43,62.3,NO_WATER
87.38,27.83,74.06,NO_WATER
32.25,29.6,34.7,WATER_SOON
53.09,25.22,82.94,NO_WATER
83.74,27.24,54.79,NO_WATER
47.56,33.71,83.06,WATER_SOON
85.08,30.03,79.5,NO_WATER
82.33,23.71,74.21,NO_WATER
71.06,30.19,52.38,NO_WATER
90.14,34.13,50.0,NO_WATER
82.06,22.29,68.34,NO_WATER
70.14,23.38,71.24,NO_WATER
65.16,16.32,60.49,NO_WATER
84.15,26.12,51.29,NO_WATER
93.7,32.31,43.36,NO_WATER
58.2,25.09,75.98,NO_WATER
45.05,34.66,55.16,WATER_SOON
49.73,35.41,71.2,WATER_SOON
11.47,28.06,20.0,WATER_NOW
39.64,30.19,48.21,WATER_SOON
54.44,33.84,66.73,WATER_SOON
81.37,30.15,70.39,NO_WATER
23.91,23.09,62.15,WATER_SOON
47.81,31.27,50.53,WATER_SOON
63.52,26.24,60.14,NO_WATER
87.69,34.27,58.04,NO_WATER
66.89,30.93,51.11,NO_WATER
56.74,23.37,47.33,NO_WATER
71.41,29.0,80.42,NO_WATER
13.0,29.0,68.27,WATER_SOON
24.5,28.34,60.38,WATER_SOON
26.34,23.23,47.59,WATER_SOON
27.8,32.07,57.5,WATER_SOON
89.23,26.81,62.13,NO_WATER
64.05,29.13,71.67,NO_WATER
25.47,29.42,73.47,WATER_SOON
17.95,21.74,66.49,WATER_SOON
40.68,34.73,65.67,WATER_SOON
44.4,15.0,79.38,NO_WATER
14.96,22.01,30.58,WATER_SOON
82.01,28.06,51.27,NO_WATER
10.38,27.47,46.09,WATER_NOW
53.29,40.73,79.69,WATER_SOON
14.82,25.46,64.32,WATER_SOON
32.93,24.65,44.33,WATER_SOON
52.49,31.03,50.69,WATER_SOON
13.7,20.97,59.87,WATER_SOON
51.83,26.76,68.96,NO_WATER
56.02,35.38,72.55,WATER_SOON
78.8,26.94,68.48,NO_WATER
63.73,29.33,46.61,NO_WATER
78.61,30.52,47.59,NO_WATER
20.66,26.09,78.35,WATER_SOON
5.2,27.29,62.54,WATER_NOW
67.97,28.66,58.7,NO_WATER
24.43,33.63,94.95,WATER_SOON
57.66,25.38,62.2,NO_WATER
33.72,23.98,58.43,WATER_SOON
51.6,33.49,76.67,NO_WATER
14.58,30.87,60.89,WATER_NOW
69.53,33.92,38.59,NO_WATER
37.16,31.09,68.34,WATER_SOON
73.78,32.17,47.44,NO_WATER
83.69,21.18,84.1,NO_WATER
43.85,29.28,75.05,WATER_SOON
13.9,31.44,54.02,WATER_NOW
15.7,39.09,52.8,WATER_NOW
83.31,30.49,55.47,NO_WATER
82.74,27.63,37.61,NO_WATER
7.23,29.62,46.5,WATER_NOW
19.9,25.22,65.4,WATER_SOON
54.59,23.0,58.67,NO_WATER
33.13,32.93,90.69,WATER_SOON
50.8,28.54,55.1,WATER_SOON
41.87,27.53,74.01,NO_WATER
16.99,28.95,76.85,WATER_SOON
24.88,24.23,98.0,WATER_SOON
41.04,28.48,60.98,WATER_SOON
60.91,23.56,86.0,NO_WATER
25.55,29.42,79.93,WATER_SOON
85.12,25.82,79.64,NO_WATER
42.68,33.81,70.11,WATER_SOON
7.33,22.14,54.08,WATER_SOON
20.98,26.73,69.07,WATER_SOON
88.85,16.36,65.48,NO_WATER
30.9,35.98,69.46,WATER_SOON
59.85,30.48,94.09,NO_WATER
6.09,19.97,58.51,WATER_SOON
5.94,23.46,61.26,WATER_SOON
34.89,28.17,68.52,WATER_SOON
27.38,21.26,50.76,WATER_SOON
79.96,28.36,37.99,NO_WATER
47.07,19.55,53.19,NO_WATER
15.73,20.9,78.74,WATER_SOON
55.83,28.26,56.79,NO_WATER
44.27,29.62,50.24,WATER_SOON
57.3,24.17,57.41,NO_WATER
75.4,25.18,29.2,NO_WATER
14.97,30.19,55.3,WATER_NOW
62.8,23.57,58.93,NO_WATER
46.92,30.26,88.9,NO_WATER
78.57,20.85,41.66,NO_WATER
17.35,31.6,35.06,WATER_NOW
85.67,26.69,68.75,NO_WATER
18.05,28.04,51.78,WATER_NOW
26.27,33.82,96.82,WATER_SOON
23.18,34.27,20.0,WATER_NOW
45.27,30.2,52.6,WATER_SOON
58.6,31.21,86.55,NO_WATER
61.08,34.2,61.7,NO_WATER
29.68,23.43,61.77,WATER_SOON
18.43,36.03,71.18,WATER_NOW
11.29,25.29,75.34,WATER_SOON
54.79,21.41,47.16,NO_WATER
75.56,30.89,30.33,NO_WATER
92.7,37.33,70.3,NO_WATER
88.31,30.96,55.23,NO_WATER
33.54,30.73,81.22,WATER_SOON
63.24,31.32,52.94,WATER_SOON
60.54,28.45,71.05,NO_WATER
84.78,29.17,76.64,NO_WATER
67.42,34.37,72.18,NO_WATER
59.16,36.4,48.69,WATER_SOON
76.28,27.14,69.6,NO_WATER
67.46,23.25,96.12,NO_WATER
12.22,22.93,93.64,WATER_SOON
59.93,26.6,42.33,WATER_SOON
43.5,22.16,55.74,NO_WATER
7.79,27.13,77.29,WATER_NOW
17.63,27.32,55.02,WATER_NOW
73.3,34.66,41.8,NO_WATER
26.24,27.86,46.02,WATER_SOON
63.98,23.87,84.13,NO_WATER
94.53,29.23,78.38,NO_WATER
33.7,29.32,71.94,WATER_SOON
16.7,37.7,72.87,WATER_NOW
8.41,34.43,50.84,WATER_NOW
25.1,26.45,93.24,WATER_SOON
10.74,34.79,65.74,WATER_NOW
9.36,22.79,41.56,WATER_NOW
88.76,32.33,71.72,NO_WATER
89.94,32.96,73.24,NO_WATER
94.28,30.68,92.27,NO_WATER
49.82,37.53,87.61,WATER_SOON
26.62,33.76,51.17,WATER_NOW
86.94,23.42,66.03,NO_WATER
9.04,28.82,87.2,WATER_SOON
36.29,26.18,98.0,WATER_SOON
25.71,35.35,91.08,WATER_SOON
62.3,31.2,62.83,NO_WATER
40.47,36.76,63.04,WATER_SOON
89.24,34.19,50.62,NO_WATER
9.89,34.52,85.84,WATER_NOW
71.81,26.73,72.68,NO_WATER
25.56,29.8,52.57,WATER_SOON
68.0,25.16,48.99,NO_WATER
23.82,22.66,57.18,WATER_SOON
35.83,19.91,93.15,NO_WATER
69.34,23.64,63.82,NO_WATER
82.04,23.87,51.3,NO_WATER
23.28,15.0,35.61,WATER_SOON
31.59,32.72,63.28,WATER_NOW
94.71,28.98,98.0,NO_WATER
14.1,22.43,65.3,WATER_SOON
75.03,40.64,48.54,NO_WATER
42.85,31.7,83.92,WATER_SOON
59.08,26.64,73.15,NO_WATER
44.91,26.49,37.29,WATER_SOON
82.08,33.78,49.86,NO_WATER
35.98,27.28,69.09,WATER_SOON
18.95,41.37,63.64,WATER_NOW
80.2,35.34,61.68,NO_WATER
54.11,27.43,92.93,NO_WATER
76.23,31.46,57.31,NO_WATER
11.19,23.59,46.16,WATER_SOON
62.51,27.91,98.0,NO_WATER
46.89,18.66,83.91,NO_WATER
54.82,33.48,59.97,NO_WATER
86.65,21.31,62.21,NO_WATER
78.63,33.48,96.04,NO_WATER
8.9,25.74,68.41,WATER_SOON
66.37,42.0,39.25,WATER_SOON
72.16,27.22,79.72,NO_WATER
43.97,35.01,64.64,WATER_SOON
18.74,34.31,56.93,WATER_NOW
40.78,27.24,84.71,WATER_SOON
77.06,27.2,61.0,NO_WATER
33.47,31.63,72.92,WATER_SOON
75.91,21.73,77.02,NO_WATER
92.25,31.76,63.06,NO_WATER
34.09,41.31,70.19,WATER_NOW
19.51,17.63,50.31,WATER_SOON
83.73,22.25,58.56,NO_WATER
35.63,29.18,98.0,WATER_SOON
64.63,26.97,34.32,NO_WATER
42.81,29.23,38.39,WATER_SOON
13.49,31.36,66.9,WATER_NOW
76.27,19.63,75.09,NO_WATER
37.39,23.86,88.87,NO_WATER
52.24,26.15,98.0,NO_WATER
54.41,29.73,87.8,NO_WATER
46.44,37.41,64.56,WATER_SOON
17.44,28.43,66.62,WATER_NOW
75.46,26.38,56.79,NO_WATER
64.06,32.11,66.03,NO_WATER
30.07,30.31,51.35,WATER_NOW
5.35,35.98,50.02,WATER_NOW
33.3,27.81,56.13,WATER_SOON
81.65,40.09,94.63,NO_WATER
50.28,31.3,84.66,WATER_SOON
27.58,27.52,74.67,WATER_SOON
65.78,36.0,36.47,WATER_SOON
36.16,24.4,39.38,WATER_SOON
45.55,33.09,98.0,WATER_SOON
23.72,29.59,70.77,WATER_SOON
78.78,28.48,62.16,NO_WATER
19.93,34.42,87.32,WATER_SOON
82.73,26.07,50.27,NO_WATER
25.54,28.84,52.48,WATER_NOW
17.89,25.24,42.49,WATER_SOON
5.97,34.84,37.96,WATER_NOW
61.34,24.72,75.73,NO_WATER
90.77,28.53,65.05,NO_WATER
16.6,23.51,62.95,WATER_SOON
21.91,26.22,43.89,WATER_NOW
91.39,35.68,47.6,NO_WATER
85.41,22.28,71.59,NO_WATER
79.45,19.78,85.54,NO_WATER
92.59,31.61,40.16,NO_WATER
71.27,27.51,61.25,NO_WATER
60.5,30.17,63.17,NO_WATER
63.14,40.88,88.18,WATER_SOON
83.76,33.51,54.44,NO_WATER
29.68,23.89,88.61,WATER_SOON
34.51,27.16,56.86,WATER_SOON
42.05,27.41,61.53,WATER_SOON
43.51,35.28,57.95,WATER_SOON
40.07,36.16,95.56,WATER_SOON
75.8,32.01,55.57,NO_WATER
58.5,34.01,68.89,NO_WATER
81.6,30.78,67.16,NO_WATER
26.93,30.02,53.03,WATER_SOON
85.69,28.02,31.28,NO_WATER
22.68,26.4,74.94,WATER_SOON
86.89,32.68,45.42,NO_WATER
22.57,32.74,83.79,WATER_NOW
8.28,32.38,78.3,WATER_NOW
27.11,33.26,74.89,WATER_SOON
73.34,28.93,87.49,NO_WATER
28.66,29.85,68.88,WATER_SOON
34.08,22.39,84.24,NO_WATER
76.8,22.0,59.14,NO_WATER
29.02,37.79,48.1,WATER_NOW
94.42,31.33,85.6,NO_WATER
81.74,30.59,52.46,NO_WATER
35.37,35.75,49.01,WATER_NOW
47.67,31.64,72.29,WATER_SOON
18.89,33.46,48.59,WATER_NOW
28.82,28.23,84.62,WATER_SOON
54.07,32.75,84.66,WATER_SOON
36.34,23.07,50.98,WATER_SOON
30.64,28.76,70.29,WATER_SOON
50.85,32.93,92.74,WATER_SOON
82.0,22.42,67.14,NO_WATER
77.98,29.5,28.36,NO_WATER
29.68,33.15,84.07,WATER_SOON
63.17,28.56,35.52,NO_WATER
19.95,22.74,87.47,WATER_SOON
36.93,32.31,79.73,WATER_SOON
25.45,25.76,39.42,WATER_SOON
63.14,31.72,72.32,NO_WATER
20.42,30.04,67.12,WATER_NOW
54.75,20.48,80.18,NO_WATER
60.68,25.06,88.48,NO_WATER
42.6,31.71,38.09,WATER_SOON
51.36,26.01,52.66,NO_WATER
10.54,26.23,78.43,WATER_SOON
94.26,27.88,73.33,NO_WATER
29.35,38.04,48.29,WATER_NOW
39.73,32.56,90.64,WATER_SOON
21.26,22.81,65.6,WATER_SOON
59.15,25.81,53.7,NO_WATER
63.4,27.31,70.43,NO_WATER
29.61,29.66,52.12,WATER_SOON
50.79,29.49,86.93,NO_WATER
82.65,32.6,58.92,NO_WATER
49.88,29.09,65.94,NO_WATER
42.01,22.28,35.85,NO_WATER
56.41,26.13,54.3,NO_WATER
17.93,33.06,46.79,WATER_NOW
21.88,31.51,71.17,WATER_SOON
45.8,28.8,59.64,WATER_SOON
19.46,23.36,93.58,WATER_SOON
51.29,27.37,47.12,NO_WATER
38.01,32.24,65.91,WATER_SOON
19.17,33.77,98.0,WATER_NOW
20.72,31.44,75.63,WATER_NOW
12.78,23.15,69.0,WATER_SOON
43.88,29.4,57.2,WATER_SOON
23.39,19.71,65.79,WATER_SOON
77.39,31.3,70.64,NO_WATER
12.33,24.89,74.4,WATER_SOON
16.53,29.89,73.31,WATER_NOW
94.13,27.39,64.6,NO_WATER
88.1,32.48,84.56,NO_WATER
80.39,26.92,68.73,NO_WATER
86.86,32.92,54.79,NO_WATER
76.43,25.16,45.72,NO_WATER
33.85,27.68,67.66,WATER_SOON
80.73,24.62,70.93,NO_WATER
26.47,29.37,58.51,WATER_SOON
38.34,27.92,60.29,WATER_SOON
22.8,29.26,52.25,WATER_SOON
79.9,29.26,58.93,NO_WATER
51.87,24.2,89.67,NO_WATER
6.78,23.87,75.98,WATER_SOON
35.25,31.28,37.26,WATER_NOW
27.2,26.04,60.55,WATER_SOON
72.43,27.87,56.84,NO_WATER
30.08,33.19,98.0,WATER_SOON
29.41,26.5,83.9,WATER_SOON
91.27,32.73,61.63,NO_WATER
82.31,28.56,35.21,NO_WATER
73.85,24.21,98.0,NO_WATER
9.68,26.59,57.24,WATER_NOW
6.46,24.03,50.31,WATER_NOW
35.94,25.98,27.8,WATER_SOON
82.48,29.15,85.48,NO_WATER
84.64,26.2,58.81,NO_WATER
49.87,27.51,51.97,NO_WATER
92.67,24.37,65.67,NO_WATER
55.53,23.94,66.35,NO_WATER
61.98,30.01,35.13,NO_WATER
48.77,31.6,62.82,WATER_SOON
90.64,29.46,76.75,NO_WATER
28.74,32.4,56.06,WATER_SOON
74.47,35.12,87.91,NO_WATER
35.1,26.18,79.73,WATER_SOON
38.21,23.06,58.06,WATER_SOON
6.43,31.19,65.03,WATER_NOW
18.43,24.77,67.46,WATER_SOON
50.91,28.62,68.94,NO_WATER
66.24,28.46,71.5,NO_WATER
22.57,32.66,66.8,WATER_NOW
72.45,34.74,46.67,NO_WATER
66.15,27.16,73.09,NO_WATER
46.85,23.73,63.99,NO_WATER
66.7,28.69,68.2,NO_WATER
87.98,21.67,51.05,NO_WATER
43.82,25.86,68.1,NO_WATER
79.53,20.4,48.23,NO_WATER
17.07,19.82,40.66,WATER_SOON
37.79,29.21,71.99,WATER_SOON
54.42,38.41,41.33,WATER_SOON
77.18,33.94,78.87,NO_WATER
51.28,31.73,53.83,WATER_SOON
17.87,21.23,68.6,WATER_SOON
59.19,29.99,53.44,NO_WATER
68.46,41.84,62.21,WATER_SOON
11.44,28.3,47.89,WATER_NOW
47.03,29.44,68.39,WATER_SOON
76.86,31.13,25.17,NO_WATER
37.9,41.87,71.91,WATER_NOW
71.53,39.91,68.71,WATER_SOON
79.65,26.2,41.4,NO_WATER
65.12,28.71,61.55,NO_WATER
59.95,30.75,60.63,NO_WATER
60.7,36.76,98.0,NO_WATER
26.46,21.29,74.2,WATER_SOON
20.18,27.36,60.2,WATER_SOON
72.52,24.9,50.28,NO_WATER
8.24,28.01,83.58,WATER_SOON
47.44,17.26,55.77,NO_WATER
64.34,24.65,45.56,NO_WATER
33.6,33.78,60.42,WATER_SOON
76.2,24.01,36.98,NO_WATER
74.5,24.07,57.62,NO_WATER
22.29,28.4,61.45,WATER_NOW
76.65,25.13,78.08,NO_WATER
31.96,28.1,22.42,WATER_SOON
82.46,28.31,61.08,NO_WATER
46.11,32.57,45.92,WATER_SOON
69.4,36.57,76.23,NO_WATER
29.83,25.14,65.03,WATER_SOON
63.7,32.84,98.0,NO_WATER
34.01,24.53,61.88,WATER_SOON
53.27,28.59,41.7,WATER_SOON
76.15,22.56,52.19,NO_WATER
25.5,28.28,63.22,WATER_SOON
27.04,39.24,54.94,WATER_NOW
42.13,25.39,98.0,NO_WATER
24.97,22.44,96.41,WATER_SOON
48.59,42.0,83.34,WATER_SOON
71.47,15.47,60.04,NO_WATER
15.61,30.49,71.5,WATER_NOW
9.19,31.58,65.56,WATER_NOW
15.57,24.95,58.24,WATER_SOON
32.02,27.83,52.15,WATER_SOON
14.37,32.54,70.55,WATER_NOW
24.1,33.38,98.0,WATER_NOW
26.69,29.59,94.86,WATER_SOON
72.25,25.37,30.5,NO_WATER
11.15,30.81,55.62,WATER_NOW
60.76,28.43,88.27,NO_WATER
73.93,23.24,56.13,NO_WATER
34.86,31.91,62.23,WATER_SOON
93.36,35.44,58.47,NO_WATER
43.93,30.88,57.06,WATER_SOON
34.47,29.17,43.1,WATER_SOON
32.53,31.93,91.4,WATER_SOON
55.06,31.27,53.99,WATER_SOON
6.95,32.52,70.31,WATER_NOW
26.3,25.03,64.57,WATER_SOON
20.06,37.78,51.78,WATER_NOW
80.01,23.1,62.71,NO_WATER
20.58,38.74,65.29,WATER_NOW
19.0,35.72,70.79,WATER_NOW
44.26,25.57,43.85,WATER_SOON
11.73,20.94,51.39,WATER_NOW
85.73,28.37,98.0,NO_WATER
42.5,20.97,77.19,NO_WATER
93.47,27.65,74.49,NO_WATER
54.71,34.02,60.63,WATER_SOON
20.27,22.34,61.87,WATER_SOON
61.4,24.38,81.72,NO_WATER
23.92,27.54,86.46,WATER_SOON
36.32,24.59,74.76,WATER_SOON
73.49,20.99,43.1,NO_WATER
81.39,36.09,79.02,NO_WATER
17.43,27.05,46.28,WATER_NOW
16.32,35.79,57.05,WATER_NOW
28.85,29.23,67.67,WATER_SOON
92.83,31.3,98.0,NO_WATER
90.86,32.3,81.13,NO_WATER
73.4,31.11,55.69,NO_WATER
55.01,29.25,74.96,WATER_SOON
13.71,23.39,80.27,WATER_SOON
42.5,21.93,52.32,NO_WATER
8.87,33.48,72.55,WATER_NOW
81.29,30.99,61.32,NO_WATER
62.45,32.76,59.21,NO_WATER
73.83,34.11,52.11,NO_WATER
74.66,32.34,55.18,NO_WATER
13.01,30.69,82.0,WATER_NOW
56.82,21.29,72.02,NO_WATER
89.25,35.13,49.59,NO_WATER
45.62,29.3,70.27,NO_WATER
88.52,28.4,34.54,NO_WATER
14.57,19.86,70.76,WATER_SOON
5.49,30.41,26.96,WATER_NOW
50.66,28.14,50.46,WATER_SOON
43.61,24.29,41.26,WATER_SOON
83.07,25.73,82.48,NO_WATER
16.15,18.04,79.47,WATER_SOON
87.37,24.98,20.19,NO_WATER
8.75,28.19,70.5,WATER_SOON
28.93,38.54,50.76,WATER_NOW
40.56,38.42,76.97,WATER_NOW
72.47,28.78,60.22,NO_WATER
68.55,35.5,46.12,NO_WATER
18.95,23.24,82.25,WATER_SOON
47.67,32.21,57.04,WATER_SOON
63.74,26.36,70.88,NO_WATER
19.38,32.89,47.62,WATER_NOW
85.52,23.68,79.32,NO_WATER
7.05,37.07,80.07,WATER_NOW
89.83,26.33,51.3,NO_WATER
90.77,22.86,66.17,NO_WATER
79.38,32.21,50.68,NO_WATER
47.53,25.25,62.02,NO_WATER
26.82,37.42,80.95,WATER_NOW
37.14,31.57,73.38,WATER_SOON
33.99,35.95,39.75,WATER_NOW
80.53,30.5,51.4,NO_WATER
18.08,17.65,28.53,WATER_SOON
20.71,28.02,81.95,WATER_SOON
58.95,30.34,69.55,NO_WATER
20.87,27.63,41.31,WATER_SOON
16.57,22.2,61.7,WATER_SOON
33.32,26.01,59.51,WATER_SOON
34.81,32.18,53.74,WATER_SOON
46.82,34.49,60.39,WATER_SOON
83.05,28.25,41.38,NO_WATER
16.7,34.41,75.04,WATER_NOW
47.61,23.98,38.85,WATER_SOON
54.77,26.58,64.97,NO_WATER
19.18,30.35,62.04,WATER_NOW
41.9,32.11,61.78,WATER_SOON
21.99,36.22,50.99,WATER_NOW
63.49,32.52,66.81,NO_WATER
27.24,32.49,81.57,WATER_SOON
63.87,23.98,78.95,NO_WATER
42.02,21.72,21.32,WATER_SOON
45.94,22.12,63.63,WATER_SOON
22.84,31.82,61.02,WATER_SOON
